,rates
AED,3.927444
AFN,95.677707
ALL,115.607481
AMD,423.161752
ANG,1.928356
AOA,542.657969
ARS,205.698066
AUD,1.545999
AWG,1.927353
AZN,1.83121
BAM,1.953686
BBD,2.16041
BDT,113.681769
BGN,1.954107
BHD,0.403048
BIF,2221.804586
BMD,1.069267
BND,1.427774
BOB,7.393185
BRL,5.581464
BSD,1.069966
BTC,4.3438819e-05
BTN,88.589072
BWP,14.023438
BYN,2.700738
BYR,20957.629415
BZD,2.156814
CAD,1.430738
CDF,2188.789524
CHF,0.987158
CLF,0.030696
CLP,846.998113
CNY,7.332283
COP,5154.913891
CRC,608.149804
CUC,1.069267
CUP,28.33557
CVE,110.142607
CZK,23.664477
DJF,190.508102
DKK,7.450222
DOP,60.121722
DZD,146.221155
EGP,32.746596
ERN,16.039002
ETB,57.499026
EUR,1.0
FJD,2.339822
FKP,0.88875
GBP,0.887908
GEL,2.833352
GGP,0.88875
GHS,13.240387
GIP,0.88875
GMD,65.33457
GNF,9213.54945
GTQ,8.37763
GYD,225.759131
HKD,8.393226
HNL,26.374802
HRK,7.543457
HTG,160.759126
HUF,382.445758
IDR,16165.977537
ILS,3.777682
IMP,0.88875
INR,88.446596
IQD,1561.623108
IRR,45176.522373
ISK,154.102648
JEP,0.88875
JMD,165.176631
JOD,0.759077
JPY,143.194053
KES,134.297143
KGS,92.994647
KHR,4371.966655
KMF,492.878748
KPW,962.308845
KRW,1375.98635
KWD,0.32756
KYD,0.891655
KZT,478.33307
LAK,18026.096211
LBP,16060.479342
LKR,390.545006
LRD,168.197477
LSL,19.289277
LTL,3.157267
LVL,0.646788
LYD,5.128265
MAD,11.018656
MDL,20.035467
MGA,4592.340158
MKD,61.627309
MMK,2246.970894
MNT,3763.114763
MOP,8.649712
MRO,381.728066
MUR,49.345852
MVR,16.42407
MWK,1098.228843
MXN,19.881308
MYR,4.70907
MZN,67.470784
NAD,19.290022
NGN,492.393231
NIO,39.0972
NOK,10.908221
NPR,141.747453
NZD,1.699664
OMR,0.411126
PAB,1.069911
PEN,4.113825
PGK,3.770169
PHP,59.035821
PKR,283.813818
PLN,4.770538
PYG,7788.146238
QAR,3.893217
RON,4.900232
RSD,117.308931
RUB,79.943707
RWF,1161.888648
SAR,4.0102
SBD,0.130991
SCR,14.305697
SDG,624.451765
SEK,11.148823
SGD,1.427134
SHP,1.30103
SLE,21.218052
SLL,21118.019731
SOS,608.9494
SRD,34.793403
STD,22131.664062
SVC,9.362078
SYP,2685.937944
SZL,19.237313
THB,36.716478
TJS,11.170035
TMT,3.753126
TND,3.336233
TOP,2.502195
TRY,20.156765
TTD,7.260805
TWD,32.404989
TZS,2501.014834
UAH,39.515852
UGX,3926.636634
USD,1.069267
UYU,41.764395
UZS,12164.307159
VEF,2596975.633437
VES,25.842577
VND,25336.27699
VUV,124.601016
WST,2.903942
XAF,655.262562
XAG,0.049458
XAU,0.000583
XCD,2.889748
XDR,0.797447
XOF,655.262562
XPF,119.383736
YER,267.624098
ZAR,19.306893
ZMK,9624.683538
ZMW,20.677486
ZWL,344.303476
